id,refseq,uniprot,gene,chrom,start,end
A_23_P146486,NM_017418,Q9P2X7,DEC1,,,
A_23_P110492,NM_005885,O60337,MARCH6,,,
A_23_P106973,NM_006640,Q9UHD8,SEPT9,,,
A_23_P116898,NM_000014,P01023,A2M ,,,
A_23_P118607,NM_025267,Q9BTE6,AARSD1,,,
A_23_P10559,NM_001080395,Q6ZMQ8,AATK ,,,
A_23_P140876,NM_001089,Q4LE27,ABCA3 ,,,
A_23_P160940,NM_000350,P78363,ABCA4 ,,,
A_23_P118615,NM_007168,A0A024R8L6,ABCA8 ,,,
A_23_P128094,NM_019625,A0A024RBU1,ABCB9 ,,,
A_23_P141076,NM_033151,A0A024R6Q6,ABCC11 ,,,
A_23_P148556,NM_000033,P33897,ABCD1 ,,,
A_23_P119763,NM_022436,Q9H222,ABCG5,,,
A_23_P149494,NM_015600,Q8N2K0,ABHD12 ,,,
A_23_P155417,NM_032750,Q96IU4,ABHD14B ,,,
A_23_P156697,NM_021160,O95870,ABHD16A ,,,
A_23_P119593,NM_024794,A0A024R7F3,ABHD9 ,,,
A_23_P141429,NM_016428,Q9P2A4,ABI3 ,,,
A_23_P132405,NM_014049,Q9H845,ACAD9,,,
A_23_P158570,NM_001609,P45954,ACADSB,,,
A_23_P107336,NM_014716,Q15027,ACAP1 ,,,
A_23_P107166,NM_024722,Q8NC06,ACBD4 ,,,
A_23_P104224,NM_138933,A0A024QZI9,ACF ,,,
A_23_P14389,NM_014977,Q9UKV3,ACIN1 ,,,
A_23_P115161,NM_002036,Q16570,ACKR1 ,,,
A_23_P131676,NM_020311,P25106,ACKR3 ,,,
A_23_P103149,NM_001098,Q99798,ACO2,,,
A_23_P14515,NM_152331,Q8N9L9,ACOT4 ,,,
A_23_P125624,NM_001037171,Q9Y305,ACOT9 ,,,
A_23_P10182,NM_003500,Q99424,ACOX2,,,
A_23_P138776,NM_001610,P11117,ACP2,,,
A_23_P142075,NM_001611,A0A024R7F8,ACP5 ,,,
A_23_P160240,NM_016361,Q9NPH0,ACP6 ,,,
A_23_P131050,NM_030924,Q5FVE4,ACSBG2 ,,,
A_23_P106933,NM_052956,Q08AH1,ACSM1 ,,,
A_23_P120594,NM_032501,Q9NUB1,ACSS1 ,,,
A_23_P1102,NM_001100,P68133,ACTA1 ,,,
A_23_P150053,NM_001613,D2JYH4,ACTA2,,,
A_23_P135769,NM_001101,P60709,ACTB,,,
A_23_P145681,NM_016188,O94805,ACTL6B ,,,
A_23_P105957,NM_001102,A0A024R694,ACTN1 ,,,
A_23_P101655,NM_004924,O43707,ACTN4,,,
A_23_P108785,NM_005721,A0A024RAI1,ACTR3 ,,,
A_23_P162596,NM_022496,Q9GZN1,ACTR6 ,,,
A_23_P147311,NM_138289,Q8TDG2,ACTRT1 ,,,
A_23_P148829,NM_080431,Q8TDY3,ACTRT2 ,,,
A_23_P121447,NM_032487,Q9BYD9,ACTRT3 ,,,
A_23_P153930,NM_001616,P27037,ACVR2A ,,,
A_23_P143120,NM_003183,B2RNB2,ADAM17 ,,,
A_23_P126363,NM_021794,Q8TBZ7,ADAM30,,,
A_23_P115011,NM_019032,B7ZMJ3,ADAMTSL4,,,
